date,category,description,amount,payment_method
2026-08-01,Food,Lunch,180,UPI
2026-08-02,Transport,Bus,60,Cash
2026-08-03,Education,Books,450,UPI
2026-08-04,Entertainment,Movie,300,Card
2026-08-05,Food,Dinner,250,UPI
2026-08-06,Shopping,T-shirt,700,Card
2026-08-07,Transport,Auto,120,Cash
2026-08-08,Food,Breakfast,100,UPI
2026-08-09,Bills,Mobile recharge,299,UPI
2026-08-10,Education,Course material,350,UPI
2026-08-11,Food,Lunch,200,UPI
2026-08-12,Entertainment,Game,150,UPI
2026-08-13,Transport,Bus,60,Cash
2026-08-14,Shopping,Accessories,500,Card
